TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
14915, MARYSVILLE-WOODS POINT ROAD btwn LAKE MOUNTAIN ROAD & WARBURTON-WOODS POINT ROAD,YARRA RANGES,24,3.0,0.13,-37.559409499999994,145.86462580000003, Cambarville , 3779
14140, STEELS CREEK ROAD btwn WILLOWBEND DRIVE & ELTHAM ROAD,YARRA RANGES,373,22.0,0.07,-37.6284146,145.37357250000002, Yarra Glen , 3775
12113, LATROBE ROAD btwn TANJIL EAST ROAD & GORDON STREET,LATROBE,1100,61.0,0.07,-38.195167,146.4029514, Maryvale , 3840
12897, CASTERTON ROAD btwn GLENELG HIGHWAY & COLERAINE-EDENHOPE ROAD,SOUTHERN GRAMPIANS,801,165.0,0.25,-37.579418100000005,141.5645591, Coleraine , 3315
9893, HUTTON ROAD btwn CHAPEL ROAD & GREENS ROAD,DANDENONG,12000,744.0,0.07,-38.0132051,145.1655152, Keysborough , 3173
14009, GREEN GULLY ROAD btwn CALDER HIGHWAY Offramp & OLD CALDER HIGHWAY,BRIMBANK,16000,952.0,0.07,-37.7143234,144.82915780000002, Keilor , 3036
12552, PRINCES HIGHWAY EAST btwn FOSTER STREET & REID DRIVE,WELLINGTON,5700,407.0,0.09,-38.108954100000005,147.0396864, Wurruk , 3850
12967, BOUNDARY ROAD btwn PALMERS ROAD & MT DERRIMUT ROAD,WYNDHAM,5800,349.0,0.07,-37.8112414,144.7600534, Derrimut , 3030
11197, FERNTREE GULLY ROAD btwn SCORESBY ROAD & BURWOOD HIGHWAY,KNOX,17000,1100.0,0.07,-37.885866799999995,145.26701780000002, Ferntree Gully , 3156
9606, SHARPS ROAD btwn KEILOR PARK DRIVE & AIRPORT DRIVE,HUME,12000,979.0,0.1,-37.706514399999996,144.8642541, Tullamarine , 3043
8723, HARROW-BALMORAL ROAD btwn COLERAINE-EDENHOPE ROAD & UNNAMED,SOUTHERN GRAMPIANS,236,21.0,0.11,-37.2539799,141.7347763, Balmoral , 3407
12668, HENTY HIGHWAY btwn PORTLAND ROAD & UNNAMED,SOUTHERN GRAMPIANS,1400,227.0,0.2,-37.809795799999996,141.9058419, Branxholme , 3302
8627, DERRIMUT ROAD btwn HOGANS ROAD & HEATHS ROAD,WYNDHAM,13000,549.0,0.05,-37.8702491,144.68413700000002, Hoppers Crossing , 3029
11314, KINGS ROAD btwn TAYLORS ROAD & MAIN ROAD,BRIMBANK,14000,299.0,0.02,-37.7347773,144.7808159, St Albans , 3021
8936, OMEO HIGHWAY btwn OLIVERS ROAD & MOSSIFACE ROAD,EAST GIPPSLAND,2200,229.0,0.13,-37.7510453,147.728297, Sarsfield , 3875
11860, SOUTH ROAD btwn NEW STREET & HAMPTON STREET,BAYSIDE,6400,397.0,0.07,-37.928724,144.9990538, Brighton , 3186
9857, BENALLA-TOCUMWAL ROAD btwn DOOKIE-DEVENISH ROAD & MIDLAND HIGHWAY,BENALLA,448,44.0,0.12,-36.4114624,145.90290280000002, Goorambat , 3725
11839, DUNCANS ROAD btwn AVIATION ROAD & BEACH ROAD,WYNDHAM,1300,110.0,0.1,-37.948051299999996,144.7075814, Werribee South , 3030
10044, BENALLA-TOCUMWAL ROAD btwn TUNGAMAH MAIN ROAD & DOOKIE-DEVENISH ROAD,MOIRA,240,44.0,0.22,-36.2525939,145.80104, Waggarandall , 3646
13863, FERNTREE GULLY ROAD btwn EASTLINK & STUD ROAD,KNOX,20000,1600.0,0.1,-37.899142499999996,145.22401330000002, Scoresby , 3179
11192, MAIN ROAD btwn BRIDGE STREET & WATTLETREE ROAD,NILLUMBIK,13000,712.0,0.07,-37.710939700000004,145.1490889, Eltham , 3095
10613, BERWICK-CRANBOURNE ROAD btwn THOMPSONS ROAD & CLYDE-FIVE WAYS ROAD,CASEY,8000,1200.0,0.17,-38.104036,145.33017009999998, Clyde North , 3978
12031, INGLEWOOD ROAD btwn HIGH STREET & CALDER HIGHWAY,LODDON,1600,327.0,0.25,-36.4238035,143.621158, Wedderburn , 3518
16060, EASTFIELD ROAD btwn EASTFIELD ROAD & DORSET ROAD,MAROONDAH,4400,267.0,0.07,-37.812193,145.2788187, Croydon South , 3136
16563,DINGLEY BYPASS BTWN TOOTAL ROAD & WESTALL ROAD,KINGSTON,21000,1100.0,0.06,-37.9640831,145.131843, Springvale South , 3172
14138, STATION STREET btwn WANTIRNA ROAD & BEDFORD ROAD,MAROONDAH,5500,,,-37.8163854,145.2289553, Ringwood , 3134
13629, GREAVES ROAD btwn NARRE WARREN-CRANBOURNE ROAD & THE AVENUE,CASEY,8100,490.0,0.07,-38.056,145.3078623, Narre Warren South , 3805
12900, GLENELG HIGHWAY btwn GLENELG HIGHWAY Start & CASTERTON-PENOLA ROAD,GLENELG,458,87.0,0.23,-37.709320299999995,141.18490559999998, Strathdownie , 3312
14982, OVERLAND DRIVE BTWN NARRE WARREN NORTH ROAD & WEBB STREET,CASEY,4000,,,-38.020704200000004,145.3073301, Narre Warren , 3805
15555, MARYSVILLE-WOODS POINT ROAD btwn LAKE MOUNTAIN ROAD & WARBURTON-WOODS POINT ROAD,YARRA RANGES,20,1.0,0.11,-37.559409499999994,145.86462580000003, Cambarville , 3779
14265, Leakes Road btwn Shanahans road & PALMERS ROAD,WYNDHAM,12000,,,-37.8333011,144.68239630000002, Tarneit , 3029
15057, GREENS ROAD btwn EASTLINK & HAMMOND ROAD,DANDENONG,8500,1300.0,0.18,-38.0109416,145.1795846, Keysborough , 3173
5960, GLENELG HIGHWAY btwn GLENELG HIGHWAY Start & CASTERTON-PENOLA ROAD,GLENELG,485,86.0,0.22,-37.709320299999995,141.18490559999998, Strathdownie , 3312
6245, CAPE SCHANCK ROAD btwn BONEO ROAD & UNNAMED,MORNINGTON PENINSULA,3900,232.0,0.07,-38.4751725,144.8949226, Cape Schanck , 3939
2069, MANNINGHAM ROAD btwn HIGH STREET & WILLIAMSONS ROAD,MANNINGHAM,15000,947.0,0.07,-37.776688899999996,145.11877869999998, Doncaster , 3108
7194, BELL STREET btwn ALBERT STREET & CHIFLEY DRIVE,DAREBIN,21000,1600.0,0.09,-37.747715500000005,145.0257638, Preston , 3072
1937, COBDEN-WARRNAMBOOL ROAD btwn AYRESFORD ROAD & COBDEN-SCOTTS CREEK ROAD,CORANGAMITE,939,128.0,0.17,-38.4004638,142.97622009999998, Glenfyne , 3266
6592, BRYSONS ROAD btwn HOMESTEAD ROAD & WONGA ROAD,MANNINGHAM,4000,,,-37.7555303,145.2551281, Warrandyte South , 3134
486, PRINCES HIGHWAY WEST btwn MAHERS ROAD & CAPE OTWAY ROAD,SURF COAST,3700,762.0,0.25,-38.2139752,144.1142572, Buckley , 3240
3913, BERWICK-CRANBOURNE ROAD btwn CLYDE ROAD & THOMPSONS ROAD,CASEY,16000,892.0,0.06,-38.0745511,145.335337, Cranbourne North , 3977
4951, MURRAY VALLEY HIGHWAY btwn TOWONG STREET & KIEWA EAST ROAD,TOWONG,1400,240.0,0.2,-36.2241638,147.1141476, Huon , 3695
4827, MONASH WAY btwn BRODRIBB ROAD & SILCOCKS ROAD,LATROBE,3900,210.0,0.07,-38.288307200000006,146.41411019999998, Hazelwood North , 3840
4698, WIMMERA HIGHWAY btwn EDENHOPE-PENOLA ROAD & WIMMERA HIGHWAY End,WEST WIMMERA,383,64.0,0.2,-36.9756033,141.11119209999998, Apsley , 3319
9929, ROHS ROAD btwn NAPIER STREET & MCIVOR ROAD,BENDIGO,1400,130.0,0.12,-36.7428122,144.3162601, East Bendigo , 3550
8671, GEELONG-BALLAN ROAD btwn BALLAN-DAYLESFORD ROAD & BALLAN ROAD,GEELONG,506,61.0,0.15,-37.821666,144.201234, Durdidwarrah , 3342
8620, COBDEN-WARRNAMBOOL ROAD btwn AYRESFORD ROAD & COBDEN-SCOTTS CREEK ROAD,CORANGAMITE,886,146.0,0.2,-38.4004638,142.97622009999998, Glenfyne , 3266
15876, COLERAINE-MERINO ROAD btwn PORTLAND ROAD & CONDAH-COLERAINE ROAD,GLENELG,93,5.0,0.07,-37.6986536,141.6159758, Tahara Bridge , 3315
12205, PRINCES HIGHWAY EAST btwn PRINCES HIGHWAY EAST & ARGYLE STREET,LATROBE,12000,1300.0,0.13,-38.1893763,146.5697237, Traralgon East , 3844
14524, FITZGERALD ROAD btwn DEER PARK BYPASS & BOUNDARY ROAD,BRIMBANK,10000,1900.0,0.22,-37.8067895,144.78823119999998, Derrimut , 3030
