POSTCODE,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS
3000,1370400,66451.0,0.07
3002,590610,30120.0,0.062
3003,1442616,132243.0,0.095
3004,1461086,90237.0,0.064
3006,1340537,94574.0,0.071
3008,562800,47104.0,0.087
3010,90000,5607.0,0.072
3011,890200,61460.0,0.079
3012,923524,88544.0,0.106
3013,606500,76266.0,0.129
3015,367100,36380.0,0.078
3016,71900,5495.0,0.079
3018,312100,24293.0,0.081
3019,140500,7297.0,0.066
3020,2002900,178295.0,0.088
3021,507000,31697.0,0.064
3022,314000,30300.0,0.11
3023,866700,55721.0,0.084
3024,182927,14513.0,0.112
3025,1101200,135055.0,0.161
3026,843500,96480.0,0.156
3027,194900,13675.0,0.078
3028,952800,59611.0,0.07
3029,585500,33191.0,0.072
3030,1780383,182044.0,0.111
3031,552800,43365.0,0.072
3032,401884,22455.0,0.067
3033,792000,79727.0,0.082
3034,39500,1337.0,0.045
3036,431000,24527.0,0.066
3037,126100,4356.0,0.053
3038,193700,9883.0,0.05
3039,535000,44391.0,0.074
3040,221000,13829.0,0.07
3041,1513900,104183.0,0.066
3042,1491434,93109.0,0.076
3043,1444500,134348.0,0.109
3044,962300,61459.0,0.07
3045,398000,23904.0,0.076
3046,436700,35032.0,0.074
3047,575900,42433.0,0.074
3048,67000,3068.0,0.06
3049,236000,15110.0,0.076
3051,744800,51007.0,0.074
3052,931400,75054.0,0.076
3053,745500,39504.0,0.07
3054,154800,8871.0,0.064
3055,330000,23864.0,0.072
3056,242900,14052.0,0.069
3057,188600,10002.0,0.062
3058,639400,36192.0,0.068
3059,106600,4972.0,0.054
3060,432000,41700.0,0.115
3061,302000,30500.0,0.129
3062,70000,4989.0,0.082
3063,13360,799.0,0.07
3064,578500,57773.0,0.113
3065,322100,24164.0,0.074
3066,246500,11594.0,0.059
3067,181300,8006.0,0.038
3068,908100,48746.0,0.063
