OBJECTID,accident_no,accident_date,accident_time,accident_type,day_of_week,road_geometry,severity,speed_zone,node_id,longitude,latitude,suburb,postcode,node_type,lga_name,region_name,total_persons,inj_or_fatal,fatality,seriousinjury,otherinjury,noninjured,males,females,bicyclist,passenger,driver,pedestrian,pillion,motorist,old_pedestrian,old_driver,young_driver,alcohol_related,no_of_vehicles,heavyvehicle,passengervehicle,motorcycle,publicvehicle
3462318,T20180000266,2018-05-01,08.45.00,Collision with vehicle,Friday,T intersection,Other injury accident,40 km/hr,326135,144.36135,-38.143640000000005,Geelong,3220,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3462319,T20180000267,2018-05-01,10.20.00,Collision with vehicle,Friday,Not at intersection,Other injury accident,60 km/hr,325728,145.04088000000002,-37.864000000000004,Malvern East,3145,Non-Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,2,0,No,2,0,2,0,0
3462321,T20180000272,2018-05-01,11.30.00,Vehicle overturned (no collision),Friday,Not at intersection,Other injury accident,100 km/hr,326155,144.40309,-38.047470000000004,Lara,3212,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,No,1,0,1,0,0
3462322,T20180000274,2018-05-01,10.20.00,Collision with vehicle,Friday,Cross intersection,Serious injury accident,80 km/hr,921,145.1575,-38.11269,Frankston North,3200,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,4,4,0,1,3,0,0,2,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3462323,T20180000276,2018-05-01,09.54.00,Struck Pedestrian,Friday,Not at intersection,Other injury accident,50 km/hr,325946,145.5896,-38.60621,Wonthaggi,3995,Non-Intersection,BASS COAST,EASTERN REGION,3,1,0,0,1,2,1,2,0,1,1,1,0,0,0,0,0,No,1,0,1,0,0
3462324,T20180000277,2018-03-01,15.05.00,Collision with vehicle,Wednesday,T intersection,Other injury accident,60 km/hr,332043,143.82041,-37.58827,Ballarat City,,Intersection,BALLARAT,WESTERN REGION,4,2,0,0,2,2,3,1,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3462325,T20180000278,2018-05-01,11.00.00,Collision with vehicle,Friday,Not at intersection,Other injury accident,60 km/hr,325636,145.03761,-37.67568,Lalor,3075,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,1,0,0
3462326,T20180000279,2018-04-01,12.40.00,Collision with a fixed object,Thursday,Not at intersection,Other injury accident,100 km/hr,327596,145.11073000000002,-38.21082,Baxter,3911,Non-Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,5,2,0,0,2,3,0,5,0,4,1,0,0,0,0,0,0,No,1,0,1,0,0
3462327,T20180000280,2018-05-01,12.37.00,Struck Pedestrian,Thursday,Not at intersection,Other injury accident,60 km/hr,326039,148.45354,-37.709790000000005,Orbost,3888,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,No,1,0,1,0,0
3462328,T20180000281,2018-05-01,12.24.00,Collision with vehicle,Friday,Not at intersection,Serious injury accident,80 km/hr,340409,145.31075,-37.893390000000004,Upper Ferntree Gully,3156,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,3,3,0,1,2,0,1,2,0,1,1,0,0,1,0,1,0,No,2,0,1,1,0
3462329,T20180000283,2018-05-01,15.00.00,Collision with vehicle,Thursday,Not at intersection,Other injury accident,40 km/hr,325735,144.96166000000002,-37.76979,Brunswick,3056,Non-Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,No,2,0,0,1,0
3462330,T20180000284,2018-05-01,11.55.00,Collision with vehicle,Friday,Not at intersection,Serious injury accident,70 km/hr,325663,145.25201,-37.808040000000005,Ringwood East,3135,Non-Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,5,1,0,1,0,4,2,3,0,3,2,0,0,0,0,1,0,No,2,0,2,0,0
3462370,T20180000286,2018-05-01,08.15.00,collision with some other object,Friday,Not at intersection,Other injury accident,60 km/hr,325734,145.18348999999998,-37.702690000000004,Research,3095,Non-Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,3,1,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,No,2,0,1,0,0
3462371,T20180000287,2018-05-01,14.58.00,Collision with vehicle,Friday,Not at intersection,Serious injury accident,100 km/hr,326006,145.07341,-37.87703,Malvern East,3145,Non-Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,3,1,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,No,3,1,1,0,0
3462372,T20180000290,2018-05-01,15.45.00,Struck Pedestrian,Friday,Not at intersection,Other injury accident,40 km/hr,325850,145.11941000000002,-37.92685,Clayton,3168,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,6,2,0,0,2,4,3,3,0,3,1,2,0,0,0,0,0,No,1,0,1,0,0
3462373,T20180000291,2018-05-01,17.15.00,Collision with a fixed object,Friday,Cross intersection,Serious injury accident,50 km/hr,44157,144.88516,-38.37215,Capel Sound,3940,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,No,1,0,1,0,0
3462374,T20180000292,2018-05-01,17.05.00,Struck Pedestrian,Friday,T intersection,Other injury accident,Other speed limit,325915,144.95803999999998,-37.795759999999994,Melbourne City,,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,2,2,0,1,1,2,0,0,0,0,1,No,1,0,1,0,0
3462375,T20180000294,2018-05-01,18.14.00,Collision with vehicle,Friday,T intersection,Other injury accident,100 km/hr,278753,148.45793999999998,-37.71138,Orbost,3888,Intersection,EAST GIPPSLAND,EASTERN REGION,5,5,0,0,5,0,1,2,0,3,2,0,0,0,0,0,0,No,2,0,2,0,0
3462376,T20180000296,2018-05-01,17.30.00,Collision with vehicle,Friday,T intersection,Other injury accident,50 km/hr,281709,145.06212,-37.66851,Mill Park,3082,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,6,1,0,0,1,5,2,4,0,4,2,0,0,0,0,0,0,No,2,0,2,0,0
3462377,T20180000298,2018-05-01,18.13.00,Collision with vehicle,Friday,Not at intersection,Other injury accident,80 km/hr,326299,145.26292,-37.99449,Endeavour Hills,3802,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,10,1,0,0,1,9,7,3,0,7,3,0,0,0,0,0,0,No,3,0,3,0,0
3462378,T20180000299,2018-05-01,04.40.00,Collision with vehicle,Friday,Y intersection,Other injury accident,60 km/hr,326409,145.02971000000002,-37.69318,Thomastown,3074,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,1,No,2,0,2,0,0
3462379,T20180000305,2018-05-01,23.46.00,Collision with vehicle,Friday,T intersection,Serious injury accident,70 km/hr,325784,145.03128999999998,-37.672709999999995,Lalor,3075,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,3,3,0,3,0,0,2,1,0,1,2,0,0,0,0,0,1,Yes,2,0,2,0,0
3462380,T20180000306,2018-05-01,23.47.00,Collision with a fixed object,Friday,Not at intersection,Serious injury accident,110 km/hr,326262,146.535,-36.16662,Indigo Shire,,Non-Intersection,INDIGO,NORTH EASTERN REGION,4,4,0,4,0,0,2,2,0,3,1,0,0,0,0,0,0,No,1,0,1,0,0
3462381,T20180000307,2018-06-01,01.40.00,Collision with a fixed object,Saturday,T intersection,Serious injury accident,60 km/hr,325989,144.29665,-36.76935,Kennington,3550,Non-Intersection,BENDIGO,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,No,1,0,1,0,0
3462382,T20180000311,2018-05-01,23.19.00,Collision with vehicle,Friday,Cross intersection,Other injury accident,60 km/hr,44226,145.02442,-37.65075,Epping,3076,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,6,1,0,0,1,5,2,4,0,4,2,0,0,0,0,0,0,No,2,0,2,0,0
3462422,T20180000314,2018-06-01,08.00.00,Collision with vehicle,Saturday,Not at intersection,Serious injury accident,50 km/hr,326375,142.5119,-38.39693,Warrnambool,3280,Non-Intersection,WARRNAMBOOL,SOUTH WESTERN REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3462423,T20180000315,2018-06-01,07.45.00,Collision with vehicle,Saturday,Cross intersection,Other injury accident,80 km/hr,43996,145.15126999999998,-38.23531,Somerville,3912,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3462424,T20180000317,2018-06-01,10.45.00,Collision with vehicle,Saturday,Cross intersection,Other injury accident,60 km/hr,241343,145.82228999999998,-38.43274,Korumburra,3950,Intersection,SOUTH GIPPSLAND,EASTERN REGION,4,1,0,0,1,3,1,3,0,2,2,0,0,0,0,0,0,No,2,0,2,0,0
3462425,T20180000318,2018-06-01,09.07.00,Collision with vehicle,Saturday,Not at intersection,Other injury accident,60 km/hr,325664,144.71366,-37.89673,Point Cook,3030,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3462426,T20180000319,2018-06-01,07.40.00,Collision with a fixed object,Saturday,Not at intersection,Serious injury accident,100 km/hr,326196,145.13566,-38.12229,Seaford,3198,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,No,1,0,1,0,0
3462427,T20180000321,2018-06-01,09.30.00,Collision with vehicle,Saturday,Cross intersection,Other injury accident,60 km/hr,29610,145.05398,-37.8457,Victoria,,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
